PLAYHome,TIME,SCORE,MAR,PLAYUC
REBOUND(DEF)by(TEAM),04:49,,,MISSED3PTRbyVitalChristian
GOOD!FTSHOTbyShastriKiran,04:26,75-80,5,FOULbyDurhamJuwan(P2T7)
GOOD!FTSHOTbyShastriKiran,04:26,76-80,4,
,04:26,,,SUBIN:JacksonVance
,04:26,,,SUBOUT:DurhamJuwan
FOULbyShastriKiran(P4T10),04:04,76-81,5,GOOD!FTSHOTbyJacksonVance
,04:04,76-82,6,GOOD!FTSHOTbyJacksonVance
,03:56,,,FOULbyJacksonVance(P5T8)
TIMEOUTMEDIA,03:56,,,
MISSEDFTSHOTbyDalySam,03:56,,,
REBOUND(OFF)by(DEADBALL),03:56,,,
GOOD!FTSHOTbyDalySam,03:56,77-82,5,
,03:56,,,SUBIN:DurhamJuwan
,03:56,,,SUBOUT:JacksonVance
,03:41,77-85,8,GOOD!3PTRbyPurvisRodney
,03:41,,,ASSISTbyAdamsJalen
MISSEDJUMPERbyShastriKiran,03:20,,,REBOUND(DEF)byPurvisRodney
,03:03,77-88,11,GOOD!3PTRbyPurvisRodney
,03:03,,,ASSISTbyVitalChristian
MISSED3PTRbyGoodwinRohndell,02:37,,,REBOUND(DEF)byAdamsJalen
REBOUND(DEF)byGoodwinRohndell,02:19,,,MISSEDLAYUPbyPurvisRodney
FOULbyPopeAustin(P3T11),02:15,,,
GOOD!LAYUPbyGoodwinRohndell[FB/PNT],02:00,79-88,9,
,01:44,79-90,11,GOOD!LAYUPbyAdamsJalen[PNT]
MISSEDJUMPERbyDalySam,01:27,,,BLOCKbyDurhamJuwan
,01:24,,,REBOUND(DEF)byVitalChristian
REBOUND(DEF)byKuanyKuany,00:56,,,MISSED3PTRbyAdamsJalen
MISSED3PTRbyShastriKiran,00:46,,,REBOUND(DEF)byFaceyKentan
,00:21,79-93,14,GOOD!3PTRbyPurvisRodney
GOOD!3PTRbyDalySam,00:12,82-93,11,
